Order ID,Order Date,ProductID,Quantity Ordered,customer_id,time_id
177831,"2019-04-01 03:09:00
",66,1,17,1
177687,"2019-04-01 04:12:00
",46,1,50,2
186754,"2019-04-01 05:06:00
",12,1,94,3
185103,"2019-04-01 05:18:00
",47,1,80,4
191585,"2019-04-01 05:58:00
",38,1,20,5
189813,"2019-04-01 06:02:00
",81,1,85,6
186650,"2019-04-01 06:11:00
",2,1,55,7
178407,"2019-04-01 06:14:00
",17,1,45,8
184067,"2019-04-01 06:18:00
",95,1,67,9
192285,"2019-04-01 06:23:00
",86,1,23,10
193992,"2019-04-01 06:27:00
",75,1,27,11
181561,"2019-04-01 06:42:00
",80,1,82,12
182960,"2019-04-01 06:47:00
",45,1,4,13
189270,"2019-04-01 06:59:00
",4,1,12,14
189001,"2019-04-01 07:01:00
",34,1,2,15
186297,"2019-04-01 07:01:00
",85,1,48,16
181552,"2019-04-01 07:06:00
",66,1,69,17
186576,"2019-04-01 07:08:00
",52,1,67,18
191788,"2019-04-01 07:17:00
",15,1,37,19
182666,"2019-04-01 07:17:00
",19,1,76,20
193621,"2019-04-01 07:21:00
",4,1,64,21
189256,"2019-04-01 07:27:00
",76,1,75,22
176831,"2019-04-01 07:39:00
",53,1,53,23
189152,"2019-04-01 07:40:00
",6,1,66,24
181016,"2019-04-01 07:42:00
",100,1,71,25
176603,"2019-04-01 07:46:00
",27,1,34,26
180520,"2019-04-01 07:46:00
",30,1,54,27
193823,"2019-04-01 07:49:00
",22,1,82,28
187999,"2019-04-01 07:51:00
",88,1,59,29
183822,"2019-04-01 07:54:00
",59,1,100,30
178720,"2019-04-01 07:55:00
",25,2,36,31
184775,"2019-04-01 07:57:00
",78,1,76,32
177219,"2019-04-01 07:59:00
",19,1,65,33
177553,"2019-04-01 08:00:00
",32,1,78,34
180221,"2019-04-01 08:00:00
",80,1,32,35
184548,"2019-04-01 08:02:00
",13,1,54,36
179069,"2019-04-01 08:06:00
",66,1,4,37
193851,"2019-04-01 08:09:00
",83,1,55,38
180003,"2019-04-01 08:15:00
",70,1,31,39
188535,"2019-04-01 08:18:00
",27,1,36,40
183517,"2019-04-01 08:23:00
",11,1,61,41
186362,"2019-04-01 08:24:00
",6,1,87,42
192696,"2019-04-01 08:32:00
",7,1,31,43
180711,"2019-04-01 08:37:00
",29,1,32,44
191947,"2019-04-01 08:38:00
",73,1,61,45
187228,"2019-04-01 08:38:00
",69,1,74,46
177130,"2019-04-01 08:43:00
",98,1,52,47
191334,"2019-04-01 08:46:00
",44,1,60,48
181218,"2019-04-01 08:51:00
",89,1,95,49
177712,"2019-04-01 08:53:00
",30,1,61,50
186564,"2019-04-01 09:00:00
",30,1,26,51
183983,"2019-04-01 09:00:00
",33,1,26,52
183201,"2019-04-01 09:01:00
",101,1,72,53
184738,"2019-04-01 09:01:00
",55,3,91,54
186090,"2019-04-01 09:04:00
",51,1,28,55
181217,"2019-04-01 09:10:00
",78,1,76,56
187559,"2019-04-01 09:12:00
",16,1,69,57
176743,"2019-04-01 09:17:00
",52,1,63,58
177668,"2019-04-01 09:20:00
",18,1,8,59
185014,"2019-04-01 09:22:00
",81,1,55,60
